Waterbody,Site.No,No.hauls,No.eDNA
BARKER,1,3,2
BEARPD-01,1,4,2
BEARPD-02,2,4,2
BOOMBR,1,8,2
BROBRK,1,4,2
BURNPD-01,1,4,2
BURNPD-02,2,4,2
CROOKR,1,8,2
GWORKB,1,8,2
GWORKN,1,8,2
GWORKS,1,8,2
HIGHLK-02,1,3,2
HIGHLK-03,2,2,2
HIGHLK-04,3,3,2
JORDAN,1,8,2
JOSIES,1,8,2
KIMBAL,1,5,2
LITTLR,1,8,2
MARBRK,1,8,2
OCSACO,1,8,2
OSSIPE,1,6,2
OSSIPM,1,3,2
PISCAT,1,6,2
PRESUM-01,1,1,1
PRESUM-02,2,2,1
PROCPD-01,1,3,2
PROCPD-02,2,5,2
SACONO-01,1,4,2
SACONO-02,2,1,2
SACONO-03,3,1,5
SACOSO,1,8,2
SEBAGO-01,1,3,2
SEBAGO-03,2,2,2
SEBAGO-04,3,2,2
SEBAGO-06,4,1,2
SFALLS,1,3,2
SPECPD,1,8,2
STANPD-01,1,2,2
STANPD-02,2,1,2
TRAFPD-01,1,6,2
WATBRK,1,8,1
