,EEL,BKF,BASS,CRA,BND,BG,BDS,BKT,BBH,CHP,CSH,CCS,FF,FSS,GSH,LMB,MIN,MUM,NSS,PS,SMB,SUN,TSS,UNK,WS,YP
BARKER,0,0,0,0,0,0,3.666666667,0,0,1.333333333,0,0,0,0,3.333333333,7.666666667,0,0,0,0,0,0,0,0,0,0
BEARPD,0,5.25,0,0,0,0,0,0,0,0.25,0,0,0,0,1,2.75,0,0,0,2.625,0.125,0.625,0,0.125,0,0
BOOMBR,0,0,0,0,0,0,0,0,0,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.375,0
BROBRK,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,4.5,0,23.25,0,0,0,0,0,0,0
BURNPD,0,0,2.375,0.25,0,0,0,0,0,0.375,0,0,0,0,0,2.375,0,0,0,0.625,0,3,0,0,0,0.375
CROOKR,0,0,0,0,0,0,0,0,0.125,0.25,27.5,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0,1,0
GWORKB,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.75,0,0.875,0,0.125,0,0
GWORKN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWORKS,0,0,0,0,0,0,0,0,0,0,0.125,0,0.375,0,0,0,0,0,0,0.125,0,0,0,0,0,0
HIGHLK,0,0,0,0,0,0,2.75,0,0,0.25,0,0,0,0,0.75,8.625,0,0,0,0.5,0,0,0,0,0,0.125
JORDAN,0,0.125,0.625,0,0,0,0,0,0,0.75,0,0,0,0.125,5.75,1.375,0,0,0,2.5,0,9.75,0,0.375,0,5
JOSIES,0,0,1.125,0.375,0,0.125,0,0,0,0.75,0,0,0,0,0,0,0,0,0,1,0,0.875,0,0,0,3.375
KIMBAL,0,0,0,0,0,0,3.8,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LITTLR,0,0,0,0,0,0,0,0,0,0.5,2.75,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0
MARBRK,0.25,0,0,0,0,0,0,0,0,0,0,0,0,58.125,0.25,0,0,60.375,4.75,0,0,0,0,0,0,0
OCSACO,0,0,0,0,0,0,0,0,0.125,0.25,0,0,0,0,0,0.375,0,0,0,0.25,0,0,0,0,0,0.5
OSSIPE,0,0,0,0,0,0,0.166666667,0,0,0,1.833333333,0.333333333,0,0,0,0.166666667,0,0,0,0.166666667,0,0,0,0,0,0
OSSIPM,0,0,0,0,0,0,2.666666667,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PISCAT,0,0,0,0,0.166666667,0,0,0,0,0,0.333333333,0,0,0,0,0,0.166666667,0,0,0,0,0,0.333333333,0,0.833333333,0
PRESUM,0,0,0,1.333333333,0,0,25.33333333,0,0,0.666666667,0,0,0,0,53.33333333,2.333333333,0,0,0,0.333333333,0,9.666666667,0,0,0,0
PROCPD,0,0,0,0.75,0,0,0,0,0,0.125,10,0,0,0,0,0.625,0,0,0,0.25,0,0.25,0,0,0,0.375
SACONO,0,0,0,0,0,0,4.833333333,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SACOSO,0,0,0,0,0,0,0,0,0,0,10.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEBAGO,0,0,0,2.25,0,0,3.25,0,0.25,0.75,0,0,0,0,0.125,1,0,0,0,2.125,0,2.75,0,0,0,1.375
SFALLS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPECPD,0,0,0,0.125,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0
STANPD,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0
TRAFPD,0,0,0,0.875,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0.5,0,0,0,0
WATBRK,0,0,0,0,1.125,0,0,2.625,0,0,20.375,0,0.125,0,0,0,0,0,0,0,0.125,0,0,0,3.625,0
